date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:16	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%2262c175ea-18%22	https://mrredaelfarouk.com/robots.txt		(from )
14:52:16	9215/9215	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2012:52:15%20GMT	https://mrredaelfarouk.com/	E:/new%20project/mrredaelfarouk.com/index.html	(from )
14:52:16	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2262c175ea-47e%22	https://mrredaelfarouk.com/dashboard/assets/images/favicon1.ico	E:/new%20project/mrredaelfarouk.com/dashboard/assets/images/favicon1.ico	(from https://mrredaelfarouk.com/)
14:52:16	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2262c175ea-28021%22	https://mrredaelfarouk.com/frontend/css/bootstrap.min.css	E:/new%20project/mrredaelfarouk.com/frontend/css/bootstrap.min.css	(from https://mrredaelfarouk.com/)
14:52:16	89220/89220	---MCZ	200	added ('OK')	text/css	etag:W/%2262c175ea-15c84%22	https://mrredaelfarouk.com/frontend/css/all.min.css	E:/new%20project/mrredaelfarouk.com/frontend/css/all.min.css	(from https://mrredaelfarouk.com/)
14:52:17	68944/68944	---MCZ	200	added ('OK')	text/css	etag:W/%2262c175ea-10d50%22	https://mrredaelfarouk.com/frontend/css/fontawesome.min.css	E:/new%20project/mrredaelfarouk.com/frontend/css/fontawesome.min.css	(from https://mrredaelfarouk.com/)
14:52:17	3351/3351	---MCZ	200	added ('OK')	text/css	date:Sun,%2003%20Jul%202022%2010:56:42%20GMT	https://mrredaelfarouk.com/frontend/css/owl.carousel.min.css	E:/new%20project/mrredaelfarouk.com/frontend/css/owl.carousel.min.css	(from https://mrredaelfarouk.com/)
14:52:17	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2262c175ea-3f5%22	https://mrredaelfarouk.com/frontend/css/owl.theme.default.min.css	E:/new%20project/mrredaelfarouk.com/frontend/css/owl.theme.default.min.css	(from https://mrredaelfarouk.com/)
14:52:18	21025/21025	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202022%2016:56:17%20GMT	https://mrredaelfarouk.com/frontend/css/sidebar.css	E:/new%20project/mrredaelfarouk.com/frontend/css/sidebar.css	(from https://mrredaelfarouk.com/)
14:52:18	36582/36582	---MCZ	200	added ('OK')	text/css	etag:W/%2263162e88-b449%22	https://mrredaelfarouk.com/frontend/css/mainstyle.css	E:/new%20project/mrredaelfarouk.com/frontend/css/mainstyle.css	(from https://mrredaelfarouk.com/)
